서식코드,서식명,대분류,구분,업데이트일
72066,주주총회 집중일 개최 사유 신고,신고사항,거래소,20250729
72067,최대주주 변경 관련 의무보유내역(명목회사ㆍ조합 등),신고사항,거래소,20250729
72072,코스닥시장상장외국법인 외부감사인 선임ㆍ해임 신고서,수시공시,거래소,20250729
72073,근무혁신 우수기업 선정(자율공시),수시공시,거래소,20250729
72078,이사회의 성별 구성의무 준수 현황(자율공시),수시공시,거래소,20250729
72086,반기 또는 분기 매출액 미달 사실 발생,수시공시,거래소,20250729
72087,현금ㆍ현물배당을 위한 주주명부폐쇄(기준일) 결정,수시공시,거래소,20250729
72093,투자판단 관련 주요경영사항(임상시험 계획 승인신청),수시공시,거래소,20250729
72094,투자판단 관련 주요경영사항(임상시험 계획 승인 등 결정),수시공시,거래소,20250729
72095,투자판단 관련 주요경영사항(임상시험 결과),수시공시,거래소,20250729
72096,투자판단 관련 주요경영사항(임상시험계획 자진취하 등),수시공시,거래소,20250729
72097,투자판단 관련 주요경영사항(임상시험계획 변경승인신청),수시공시,거래소,20250729
72098,투자판단 관련 주요경영사항(임상시험계획 변경승인),수시공시,거래소,20250729
72101,기업가치 제고 계획(자율공시),수시공시,거래소,20250729
72102,기업가치 제고 계획 예고,수시공시,거래소,20250729
72103,자기 전환사채 매도 결정,수시공시,거래소,20250729
72104,자기 전환주식 매도 결정,수시공시,거래소,20250729
72105,자기 신주인수권부사채 매도 결정,수시공시,거래소,20250729
72106,자기 전환사채 만기전 취득 결정,수시공시,거래소,20250729
72107,자기 신주인수권부사채 만기전 취득 결정,수시공시,거래소,20250729
72108,자기 전환주식 취득 결정,수시공시,거래소,20250729
72109,자기 교환사채 매도 결정,수시공시,거래소,20250729
72110,자기 교환사채 만기전 취득 결정,수시공시,거래소,20250729
72111,전환주식의 전환가액 결정,신고사항,거래소,20250729
72112,전환주식의 전환청구권 행사,신고사항,거래소,20250729
72113,전환주식의 전환가액 조정,신고사항,거래소,20250729
